X,Y,OBJECTID,schID,schName,mapLabel,Status,esmshs
1277786.25996022,267449.850067973,106,261,Olympic Hills,Olympic Hills,ELEM,ES
1266376.49012889,268016.519866392,107,208,Broadview-Thomson K-8,Broadview-Thomson K-8,ELEM,ES
1270397.75997347,268327.269901052,108,20,Ingraham,Ingraham Int'l,HS,HS
1288231.26006755,248998.63008073,109,269,Sand Point,Sand Point,ELEM,ES
1262888.33995298,203870.059904978,110,972,Louisa Boren K-8,Boren STEM K-8,Option ELEM,ES
1270971.56000698,215342.869964555,111,990,JOHN STANFORD CENTER,JOHN STANFORD CENTER,Admin,
1269119.83831672,257104.031520814,112,113,Robert Eagle Staff,Robert Eagle Staff,MS,MS
1277445.88006355,230213.140092731,113,109,Meany,Meany,MS,MS
1270067.5965918,257113.155518308,114,971,Cascadia,Cascadia,HC,ES
1282531.86792305,268135.875926897,115,210,Cedar Park,Cedar Park,Option ELEM,ES
1265680.67393522,234243.291153148,116,365,Interagency at Queen Anne,Queen Anne Gym,NonStandard,
1283463.8867283,253488.276285142,117,287,Decatur,Decatur,HC,ES
